Fecha_Captura,Hora_Captura,ID_Canal,Nombre_Canal,Caudal_Flow,Fecha_Reportada,Hora_Reportada
2026-08-20,08:03:19,50,BT CANAL SAN CARLOS REGANTES,0.0,20/08/2026,04:00
2026-08-20,08:03:19,20,CANAL EYZAGUIRRE,4283.27,20/08/2026,02:00
2026-08-20,08:03:19,41,CANAL FLORIDA,13900.0,20/08/2026,02:00
2026-08-20,08:03:19,35,CANAL LAS PERDICES,2000.0,20/08/2026,02:00
2026-08-20,08:03:19,37,BT CANAL EL CARMEN,0.0,20/08/2026,02:00
2026-08-20,08:03:19,38,BT CANAL LA PUNTA,800.0,20/08/2026,02:00
2026-08-20,08:03:19,39,CANAL LA PÓLVORA,0.0,20/08/2026,02:00
2026-08-20,11:01:59,1,RÍO MAIPO,50900.0,20/08/2026,06:00
2026-08-20,11:01:59,3,REGADOR SCM,10.6,20/08/2026,06:00
2026-08-20,11:01:59,50,BT CANAL SAN CARLOS REGANTES,0.0,20/08/2026,07:00
2026-08-20,11:01:59,20,CANAL EYZAGUIRRE,4275.07,20/08/2026,06:00
2026-08-20,11:01:59,41,CANAL FLORIDA,13700.0,20/08/2026,06:00
2026-08-20,11:01:59,35,CANAL LAS PERDICES,2000.0,20/08/2026,06:00
2026-08-20,11:01:59,37,BT CANAL EL CARMEN,0.0,20/08/2026,06:00
2026-08-20,11:01:59,38,BT CANAL LA PUNTA,800.0,20/08/2026,06:00
2026-08-20,11:01:59,39,CANAL LA PÓLVORA,0.0,20/08/2026,06:00
2026-08-20,14:09:00,1,RÍO MAIPO,50300.0,20/08/2026,08:00
2026-08-20,14:09:00,3,REGADOR SCM,10.48,20/08/2026,08:00
2026-08-20,14:09:00,50,BT CANAL SAN CARLOS REGANTES,0.0,20/08/2026,10:00
2026-08-20,14:09:00,20,CANAL EYZAGUIRRE,4225.85,20/08/2026,08:00
2026-08-20,14:09:00,41,CANAL FLORIDA,13200.0,20/08/2026,08:00
2026-08-20,14:09:00,35,CANAL LAS PERDICES,2000.0,20/08/2026,08:00
2026-08-20,14:09:00,37,BT CANAL EL CARMEN,0.0,20/08/2026,08:00
2026-08-20,14:09:00,38,BT CANAL LA PUNTA,800.0,20/08/2026,08:00
2026-08-20,14:09:00,39,CANAL LA PÓLVORA,0.0,20/08/2026,08:00
2026-08-20,17:06:01,1,RÍO MAIPO,48300.0,20/08/2026,12:00
2026-08-20,17:06:01,3,REGADOR SCM,10.06,20/08/2026,12:00
2026-08-20,17:06:01,50,BT CANAL SAN CARLOS REGANTES,0.0,20/08/2026,13:00
2026-08-20,17:06:01,20,CANAL EYZAGUIRRE,4061.8,20/08/2026,12:00
2026-08-20,17:06:01,41,CANAL FLORIDA,14700.0,20/08/2026,12:00
2026-08-20,17:06:01,35,CANAL LAS PERDICES,2000.0,20/08/2026,12:00
2026-08-20,17:06:01,37,BT CANAL EL CARMEN,0.0,20/08/2026,12:00
2026-08-20,17:06:01,38,BT CANAL LA PUNTA,800.0,20/08/2026,12:00
2026-08-20,17:06:01,39,CANAL LA PÓLVORA,0.0,20/08/2026,12:00
2026-08-20,19:43:59,1,RÍO MAIPO,46600.0,20/08/2026,14:00
2026-08-20,19:43:59,3,REGADOR SCM,9.71,20/08/2026,14:00
2026-08-20,19:43:59,50,BT CANAL SAN CARLOS REGANTES,0.0,20/08/2026,15:00
2026-08-20,19:43:59,20,CANAL EYZAGUIRRE,3922.36,20/08/2026,14:00
2026-08-20,19:43:59,41,CANAL FLORIDA,10700.0,20/08/2026,14:00
2026-08-20,19:43:59,35,CANAL LAS PERDICES,2000.0,20/08/2026,14:00
2026-08-20,19:43:59,37,BT CANAL EL CARMEN,0.0,20/08/2026,14:00
2026-08-20,19:43:59,38,BT CANAL LA PUNTA,800.0,20/08/2026,14:00
2026-08-20,19:43:59,39,CANAL LA PÓLVORA,0.0,20/08/2026,14:00
2026-08-20,21:01:57,1,RÍO MAIPO,47600.0,20/08/2026,16:00
2026-08-20,21:01:57,3,REGADOR SCM,9.92,20/08/2026,16:00
2026-08-20,21:01:57,50,BT CANAL SAN CARLOS REGANTES,0.0,20/08/2026,17:00
2026-08-20,21:01:57,20,CANAL EYZAGUIRRE,4004.39,20/08/2026,16:00
2026-08-20,21:01:57,41,CANAL FLORIDA,9100.0,20/08/2026,16:00
2026-08-20,21:01:57,35,CANAL LAS PERDICES,2000.0,20/08/2026,16:00
2026-08-20,21:01:57,37,BT CANAL EL CARMEN,0.0,20/08/2026,16:00
2026-08-20,21:01:57,38,BT CANAL LA PUNTA,800.0,20/08/2026,16:00
2026-08-20,21:01:57,39,CANAL LA PÓLVORA,0.0,20/08/2026,16:00
2026-08-20,23:00:07,1,RÍO MAIPO,47800.0,20/08/2026,18:00
2026-08-20,23:00:07,3,REGADOR SCM,9.96,20/08/2026,18:00
2026-08-20,23:00:07,50,BT CANAL SAN CARLOS REGANTES,0.0,20/08/2026,19:00
2026-08-20,23:00:07,20,CANAL EYZAGUIRRE,4020.79,20/08/2026,18:00
2026-08-20,23:00:07,41,CANAL FLORIDA,13100.0,20/08/2026,18:00
2026-08-20,23:00:07,35,CANAL LAS PERDICES,2000.0,20/08/2026,18:00
2026-08-20,23:00:07,37,BT CANAL EL CARMEN,0.0,20/08/2026,18:00
2026-08-20,23:00:07,38,BT CANAL LA PUNTA,800.0,20/08/2026,18:00
2026-08-20,23:00:07,39,CANAL LA PÓLVORA,0.0,20/08/2026,18:00
2026-08-21,03:30:48,50,BT CANAL SAN CARLOS REGANTES,0.0,20/08/2026,23:00
2026-08-21,05:20:18,1,RÍO MAIPO,47600.0,20/08/2026,22:00
2026-08-21,05:20:18,3,REGADOR SCM,9.92,20/08/2026,22:00
2026-08-21,05:20:18,50,BT CANAL SAN CARLOS REGANTES,0.0,21/08/2026,01:00
2026-08-21,05:20:18,20,CANAL EYZAGUIRRE,4004.39,20/08/2026,22:00
2026-08-21,05:20:18,41,CANAL FLORIDA,11700.0,20/08/2026,22:00
2026-08-21,05:20:18,35,CANAL LAS PERDICES,2000.0,20/08/2026,22:00
2026-08-21,05:20:18,37,BT CANAL EL CARMEN,0.0,20/08/2026,22:00
2026-08-21,05:20:18,38,BT CANAL LA PUNTA,800.0,20/08/2026,22:00
2026-08-21,05:20:18,39,CANAL LA PÓLVORA,0.0,20/08/2026,22:00
2026-08-21,08:04:14,1,RÍO MAIPO,54200.0,21/08/2026,02:00
2026-08-21,08:04:14,3,REGADOR SCM,11.29,21/08/2026,02:00
2026-08-21,08:04:14,50,BT CANAL SAN CARLOS REGANTES,0.0,21/08/2026,04:00
2026-08-21,08:04:14,20,CANAL EYZAGUIRRE,4545.75,21/08/2026,02:00
2026-08-21,08:04:14,41,CANAL FLORIDA,16200.0,21/08/2026,02:00
2026-08-21,08:04:14,35,CANAL LAS PERDICES,2000.0,21/08/2026,02:00
2026-08-21,08:04:14,37,BT CANAL EL CARMEN,0.0,21/08/2026,02:00
2026-08-21,08:04:14,38,BT CANAL LA PUNTA,800.0,21/08/2026,02:00
2026-08-21,08:04:14,39,CANAL LA PÓLVORA,0.0,21/08/2026,02:00
2026-08-21,11:02:05,1,RÍO MAIPO,51100.0,21/08/2026,06:00
2026-08-21,11:02:05,3,REGADOR SCM,10.64,21/08/2026,06:00
2026-08-21,11:02:05,50,BT CANAL SAN CARLOS REGANTES,0.0,21/08/2026,07:00
2026-08-21,11:02:05,20,CANAL EYZAGUIRRE,4291.47,21/08/2026,06:00
2026-08-21,11:02:05,41,CANAL FLORIDA,14900.0,21/08/2026,06:00
2026-08-21,11:02:05,35,CANAL LAS PERDICES,2000.0,21/08/2026,06:00
2026-08-21,11:02:05,37,BT CANAL EL CARMEN,0.0,21/08/2026,06:00
2026-08-21,11:02:05,38,BT CANAL LA PUNTA,800.0,21/08/2026,06:00
2026-08-21,11:02:05,39,CANAL LA PÓLVORA,0.0,21/08/2026,06:00
2026-08-21,14:06:04,1,RÍO MAIPO,49900.0,21/08/2026,08:00
2026-08-21,14:06:04,3,REGADOR SCM,10.39,21/08/2026,08:00
2026-08-21,14:06:04,50,BT CANAL SAN CARLOS REGANTES,0.0,21/08/2026,10:00
2026-08-21,14:06:04,20,CANAL EYZAGUIRRE,4193.04,21/08/2026,08:00
2026-08-21,14:06:04,41,CANAL FLORIDA,13800.0,21/08/2026,08:00
2026-08-21,14:06:04,35,CANAL LAS PERDICES,2000.0,21/08/2026,08:00
2026-08-21,14:06:04,37,BT CANAL EL CARMEN,0.0,21/08/2026,08:00
2026-08-21,14:06:04,38,BT CANAL LA PUNTA,800.0,21/08/2026,08:00
2026-08-21,14:06:04,39,CANAL LA PÓLVORA,0.0,21/08/2026,08:00
2026-08-21,17:06:08,1,RÍO MAIPO,49100.0,21/08/2026,10:00
2026-08-21,17:06:08,3,REGADOR SCM,10.23,21/08/2026,10:00
2026-08-21,17:06:08,50,BT CANAL SAN CARLOS REGANTES,0.0,21/08/2026,13:00
2026-08-21,17:06:08,20,CANAL EYZAGUIRRE,4127.42,21/08/2026,10:00
2026-08-21,17:06:08,41,CANAL FLORIDA,12900.0,21/08/2026,10:00
2026-08-21,17:06:08,35,CANAL LAS PERDICES,2000.0,21/08/2026,10:00
2026-08-21,17:06:08,37,BT CANAL EL CARMEN,0.0,21/08/2026,10:00
2026-08-21,17:06:08,38,BT CANAL LA PUNTA,800.0,21/08/2026,10:00
2026-08-21,17:06:08,39,CANAL LA PÓLVORA,0.0,21/08/2026,10:00
2026-08-21,19:16:00,1,RÍO MAIPO,49000.0,21/08/2026,14:00
2026-08-21,19:16:00,3,REGADOR SCM,10.21,21/08/2026,14:00
2026-08-21,19:16:00,50,BT CANAL SAN CARLOS REGANTES,0.0,21/08/2026,15:00
2026-08-21,19:16:00,20,CANAL EYZAGUIRRE,4119.22,21/08/2026,14:00
2026-08-21,19:16:00,41,CANAL FLORIDA,12200.0,21/08/2026,14:00
2026-08-21,19:16:00,35,CANAL LAS PERDICES,2000.0,21/08/2026,14:00
2026-08-21,19:16:00,37,BT CANAL EL CARMEN,0.0,21/08/2026,14:00
2026-08-21,19:16:00,38,BT CANAL LA PUNTA,800.0,21/08/2026,14:00
2026-08-21,19:16:00,39,CANAL LA PÓLVORA,0.0,21/08/2026,14:00
2026-08-21,20:53:48,1,RÍO MAIPO,47600.0,21/08/2026,16:00
2026-08-21,20:53:48,3,REGADOR SCM,9.92,21/08/2026,16:00
2026-08-21,20:53:48,50,BT CANAL SAN CARLOS REGANTES,23359.31,21/08/2026,16:00
2026-08-21,20:53:48,20,CANAL EYZAGUIRRE,4004.39,21/08/2026,16:00
2026-08-21,20:53:48,41,CANAL FLORIDA,12000.0,21/08/2026,16:00
2026-08-21,20:53:48,35,CANAL LAS PERDICES,2000.0,21/08/2026,16:00
2026-08-21,20:53:48,37,BT CANAL EL CARMEN,0.0,21/08/2026,16:00
2026-08-21,20:53:48,38,BT CANAL LA PUNTA,800.0,21/08/2026,16:00
2026-08-21,20:53:48,39,CANAL LA PÓLVORA,0.0,21/08/2026,16:00
2026-08-21,22:54:51,1,RÍO MAIPO,48900.0,21/08/2026,18:00
2026-08-21,22:54:51,3,REGADOR SCM,10.19,21/08/2026,18:00
2026-08-21,22:54:51,50,BT CANAL SAN CARLOS REGANTES,24468.81,21/08/2026,18:00
2026-08-21,22:54:51,20,CANAL EYZAGUIRRE,4111.02,21/08/2026,18:00
2026-08-21,22:54:51,41,CANAL FLORIDA,11300.0,21/08/2026,18:00
2026-08-21,22:54:51,35,CANAL LAS PERDICES,2000.0,21/08/2026,18:00
2026-08-21,22:54:51,37,BT CANAL EL CARMEN,0.0,21/08/2026,18:00
2026-08-21,22:54:51,38,BT CANAL LA PUNTA,800.0,21/08/2026,18:00
2026-08-21,22:54:51,39,CANAL LA PÓLVORA,0.0,21/08/2026,18:00
2026-08-22,03:07:58,50,BT CANAL SAN CARLOS REGANTES,0.0,21/08/2026,23:00
2026-08-22,05:04:09,50,BT CANAL SAN CARLOS REGANTES,0.0,22/08/2026,01:00
2026-08-22,07:45:26,1,RÍO MAIPO,51200.0,21/08/2026,20:00
2026-08-22,07:45:26,3,REGADOR SCM,10.67,21/08/2026,20:00
2026-08-22,07:45:26,50,BT CANAL SAN CARLOS REGANTES,0.0,22/08/2026,03:00
2026-08-22,07:45:26,20,CANAL EYZAGUIRRE,4299.68,21/08/2026,20:00
2026-08-22,07:45:26,41,CANAL FLORIDA,13000.0,21/08/2026,20:00
